sdk_version,wasm_count,instance_count,upgradeable_wasm_count,upgradeable_instance_count
22.0.10#9a1b75b509a5053b676b09fdbd224fe8c5f2fcd5,41,73,11,32
22.0.9#3890521426d71bb4d892b21f5a283a1e836cfa38,11,20,4,13
22.0.8#f46e9e0610213bbb72285566f9dd960ff96d03d8,470,1469,238,1030
22.0.7#211569aa49c8d896877dfca1f2eb4fe9071121c8,321,88656,184,87167
22.0.6#0c47dcfa187069d241f11fb082730f667b55e802,173,3692,135,1322
22.0.5#25daaf397971f2c15fd2a5fd0a9967020a19cfcb,31,80,11,17
22.0.4#1d4afb3b981a4f4b2bbc19f0ce38af85c4ab316a,10,10,8,8
22.0.3#5a3ca3afe8f995c8e04a06656ff037ebaf545704,7,898,3,895
22.0.2#31b2892ef4d20538004e52713cb81e4895a8de9a,19,34,15,29
22.0.1#c9a587d6f70b5c713cb7bf5c5f3537ace1cded04,2,0,2,0
22.0.0-rc.3.2#9324422a11daa99fdf31d420bb4072dbd875de60,4,107,1,0
22.0.0-rc.3#e7eccd3c857ef3e368a90ccf9b542eb4dfe852bd,1,1,0,0
21.7.7#5da789c50b18a4c2be53394138212fed56f0dfc4,209,290,112,124
21.7.6#c6cca8f8cf75618c24ceb5d9ffdfe735486ae1e9,61,896,20,837
21.7.5#e8732eb734e473a803c2e980e07d7d3cca73e9d8,1,1,0,0
21.7.4#f67b4bf2d2de04d87d28225a99027fd40b7da914,33,39,24,13
21.7.3#1f8101942d52a6a93226df840876e6308808c0f4,3,4,2,3
21.7.2#c88a1c9dde406f22bad4371a2b12ee413880a84a,1,1,1,1
21.7.1#9e35dceaba1a032fb76e486d2bcf970a7f31843e,3,0,3,0
21.7.0#91fe9c9d18cc66155a96efb4616de57e1e3d7111,6,6,0,0
21.6.0#f57d2454e520ae11dc9c8d55db610557a24a556e,90,66,78,49
21.5.1#47f91dcb6310067dd74bc64ad41173b2de31e11f,5,18,1,1
21.5.0#d40bd031c14fbd3d75cf4473486ef7ef15af3364,16,12,11,5
21.4.0#d6f5639f643d76e758beecbb0ca391f8cd304c24,9,20,6,11
21.3.0#ee516d12da734cc9ec2f303ce98bd24731c696f8,1,1,0,0
21.1.1#648cbcb799858b9ba9f240c82c0babcf621050bc,66,167,36,50
21.1.0-rc.1#2a5ee0d6bef89b28b8105ac0ce0e9e53d83b5eb7,11,4,10,3
21.0.1-preview.3#ff05c3d4cbed97db50142372e9d7a4fa4a8d1d5d,3,4,1,0
20.5.0#9e2c3022b4355b224a7a814e13ba51761eeb14bb,305,686,115,300
20.4.0#70b12eb8c6af0593888154700f0ef68897521708,32,42,16,21
20.3.2#1d7f9bd8030f69070634bfb07394339824ceb399,84,175,38,71
20.3.1#ba045a57af971fc83e475746b59a503b7ef41649,12,24,1,1
20.2.0#6e198b79a51c48ccc8f22b02dcc4046d8cb7a887,26,301,2,1
20.0.3#93b09e42e4efa841cbd034c0bff0dc362765086c,3,3,0,0
20.0.2#3fb64df17366511963a875c1bbe239b2b04957d3,6,6,5,4
20.0.0-rc2#7c154b4fe6a37d7ca7177342dedb69f3108095ef,1,21,0,0
20.0.0#822ce6cc3e461ccc925275b472d77b6ca35b2cd9,5,35,0,0
